	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_720	-0.01	-0.0095504391	-0.0035859237	-0.0027377569	-0.0009604478	0.0047849205	-0.0086149531	-0.0004368199	-1.09617e-05	-0.0004478847
130515_C2_stim_CD19-_1783	-0.01	0.0143008767	-0.0016105683	-0.0012116612	-0.0119941311	-0.0083860526	-0.0077700812	0.005705618	4.19197e-05	0.0021957005
130515_C2_stim_CD19-_12420	-0.01	-0.0009485181	0.00480951	0.0058434359	-0.0012616147	-0.0049011972	0.0018102179	-0.0108865172	-0.0005842768	-0.0057837632
130515_C2_stim_CD19-_5994	-0.01	-0.0094106472	-0.003196045	-0.0013793463	-0.0009435232	0.0043695442	-0.0081150859	-0.0003851841	5.4531e-06	-0.0004162158
130515_C2_stim_CD19-_5059	-0.01	-0.0096948209	-0.0038106501	-0.0033191505	-0.0009828942	0.0051040288	-0.009019098	-3.86562e-05	1.41924e-05	-0.0004867664
130515_C2_stim_CD19-_6190	-0.01	0.0112790296	0.0035247991	-0.0029355131	-0.010458967	-0.0114134043	-0.0058165522	0.0007653674	0.0008772969	-0.001406559
130515_C2_stim_CD19-_15694	-0.01	0.0122200894	0.0027790321	-0.0026336476	-0.0119879871	-0.012033317	-0.0074952228	0.0019737329	0.0008026754	-0.0003111373
130515_C2_stim_CD19-_1894	-0.01	-0.0096169286	-0.0033480366	-0.0013021056	-0.0010170959	0.0047804319	-0.0089754844	-0.0003491121	9.5421e-06	-0.0004217562
130515_C2_stim_CD19-_9377	-0.01	-0.0096137316	-0.0035317443	-0.0020565081	-0.0010185093	0.0050004251	-0.0092874187	-0.0004488082	1.35804e-05	-0.0005248507
130515_C2_stim_CD19-_2687	-0.01	-0.0093961547	-0.0026231032	0.0012809326	-0.0009314399	0.0037028505	-0.0070745364	0.0003815294	-5.1741e-06	-0.0001516162
130515_C2_stim_CD19-_4515	-0.01	0.0046560346	0.0057419497	-0.0048505258	0.0024274073	-0.0075298976	0.0099749276	-0.0483377547	-0.0043660333	-0.01519868
130515_C2_stim_CD19-_7208	-0.01	-0.0095971764	-0.0034013396	-0.001564772	-0.001023824	0.0048623852	-0.0091110348	-0.0005322075	-5.8529e-06	-0.0005002032
130515_C2_stim_CD19-_9760	-0.01	-0.0098087578	-0.0038195536	-0.0027942117	-0.0010605955	0.0054430925	-0.0099719637	-0.0002854319	1.37653e-05	-0.0005511429
130515_C2_stim_CD19-_765	-0.01	0.0141804506	-0.0010634746	-0.0016097743	-0.0123460652	-0.0091096079	-0.0082292947	0.0057092083	0.0001459462	0.0032531502
130515_C2_stim_CD19-_867	-0.01	0.0175645217	-0.0224896043	0.0080578538	0.009581886	0.0199352211	0.0102105321	-0.0022772691	-0.0074179472	-0.0002616828
130515_C2_stim_CD19-_10574	-0.01	-0.0078358065	-0.0025485925	-0.0039955845	-0.0005101742	0.0015912408	-0.0028796656	-0.0028331426	-0.0001112774	-8.72987e-05
130515_C2_stim_CD19-_7311	-0.01	-0.0085227038	-0.0019233933	0.0011010461	-0.0007218736	0.0022918894	-0.0050450154	-0.001893569	2.2106e-06	-0.0004181545
130515_C2_stim_CD19-_9574	-0.01	0.0142078893	-0.0011646638	-0.0014164551	-0.0120729953	-0.0087206326	-0.007958959	0.0056403998	0.0001315701	0.002262556
130515_C2_stim_CD19-_14832	-0.01	-0.0097177502	-0.0035615883	-0.0019060637	-0.0010603767	0.0051516064	-0.0096201568	-0.0003870567	1.28232e-05	-0.0005509306
130515_C2_stim_CD19-_11931	-0.01	-0.0077035231	-0.0009833709	0.0012591934	0.00024678	0.0001184192	0.0002252052	0.0002864975	-0.0001049864	0.0008903095
130515_C2_stim_CD19-_4708	-0.01	-0.0096318137	-0.0034350239	-0.0015847343	-0.0010376496	0.0050058206	-0.0095017682	-0.0006810946	7.6377e-06	-0.0004960952
130515_C2_stim_CD19-_12198	-0.01	-0.0075739231	-0.0017287456	-0.0008016807	-0.0004938166	0.0014078927	-0.0045665949	-0.0046540329	0.0004826783	-0.0008814191
130515_C2_stim_CD19-_12062	-0.01	0.017096361	-0.0192759286	0.0063209754	0.0058325129	0.0147411403	0.0071209646	0.0003887774	-0.0009316457	0.0013484497
130515_C2_stim_CD19-_6647	-0.01	-0.0087870701	-0.0037378366	-0.0064647627	-0.0004610699	0.0025830425	-0.0022791686	0.0018094987	0.0001466624	7.9821e-06
130515_C2_stim_CD19-_12323	-0.01	0.0113398221	0.0138481127	-0.0049064042	-0.0007869174	0.0009747534	-0.0071738291	0.0074639185	0.0008587712	0.0084120629
130515_C2_stim_CD19-_8893	-0.01	0.0168360795	-0.0125798575	0.0040373581	-0.0034810582	0.0071930359	0.0008944732	0.0046436071	-0.0025311287	-0.0028067539
130515_C2_stim_CD19-_3267	-0.01	0.0078267194	0.0249769509	-0.0036203598	0.0126773011	0.0131663935	-0.0005412012	0.0045612724	0.0001250177	-6.22233e-05
130515_C2_stim_CD19-_695	-0.01	0.0172601761	-0.0151132642	0.0052298035	-0.0008900377	0.0108103281	0.0032660969	0.0034882686	-0.0027840913	-0.0032885796
130515_C2_stim_CD19-_9089	-0.01	-0.0068793552	-0.0038054201	-0.0176225188	0.0006480021	-0.0042271182	0.0183593799	0.0094614925	-0.0002686988	0.0008071186
