	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_36	0.0079200623	0.0054475296	-0.0030615496	0.0121386159	-0.0129708994	-0.004247476	-0.0090996408	0.003554676	0.0016421638	0.0001595073
130515_C2_stim_CD19-_37	0.0079200623	0.0075689734	0.0028438002	-0.0006776374	0.0022319067	0.0026620975	0.0079529834	-0.0010215381	-0.0003000918	-1.2714e-05
130515_C2_stim_CD19-_38	0.0079200623	-0.0066554346	-0.0200090006	-0.0065161253	-0.0018945655	0.0136596446	0.0023461673	0.0017471175	0.0011321104	8.6754e-06
130515_C2_stim_CD19-_39	0.0079200623	-0.0114176408	0.0016813194	0.0034049992	0.0057725755	-0.0112336741	0.0065596528	0.0022573925	0.0030787222	-0.0003943424
130515_C2_stim_CD19-_40	0.0079200623	-0.0056816063	-0.020571208	-0.0056684481	-0.003527976	0.0147654936	0.0013331047	0.0025402741	0.0014870076	-8.04675e-05
130515_C2_stim_CD19-_41	0.0079200623	0.007612134	0.0026493826	0.0001809706	0.0013615534	0.0025323932	0.0079938601	-0.0009287164	-0.0002352006	1.8713e-05
130515_C2_stim_CD19-_42	0.0079200623	0.0071265785	0.0017954014	0.0015954444	-0.0004637042	0.0014822271	0.0054329024	-0.0008992509	-0.0002806617	-1.09076e-05
130515_C2_stim_CD19-_43	0.0079200623	-0.0063226535	-0.0217827924	-0.0065160384	-0.0032967644	0.01591394	0.0015518587	0.0025708255	0.001519891	-0.0001083843
130515_C2_stim_CD19-_44	0.0079200623	0.0052766058	0.0028591826	-0.0111710944	0.0108797514	-0.0012369587	-0.0170698078	0.0095431669	0.0039804795	0.000107132
130515_C2_stim_CD19-_45	0.0079200623	-0.0067233357	-0.0209904849	-0.0063380611	-0.002779413	0.0151695811	0.0021737376	0.0029856307	0.0017272553	-2.4395e-06
130515_C2_stim_CD19-_46	0.0079200623	0.0076421847	0.002899241	-0.0006386786	0.0022395451	0.0027628423	0.0082877688	-0.0010018453	-0.000277164	-2.4767e-06
130515_C2_stim_CD19-_47	0.0079200623	-0.0033789696	-0.0048146586	-0.0015012475	0.0020901839	-0.0069906484	-0.0064531888	-0.0061396311	-0.0040041131	-0.0005696467
130515_C2_stim_CD19-_48	0.0079200623	-0.0139109754	0.0138276268	0.004432265	-0.0021011148	0.0115715198	-0.0024571715	0.0017327242	0.0006353354	-0.001511487
130515_C2_stim_CD19-_49	0.0079200623	0.0056297678	-0.0027317373	0.0115913507	-0.0123151707	-0.0038735129	-0.0082331182	0.0033811229	0.0015816533	0.0001567228
130515_C2_stim_CD19-_50	0.0079200623	0.0076183043	0.00284263	-0.0005027779	0.0020687262	0.0027123448	0.0082629196	-0.0010792562	-0.000315023	-1.05915e-05
130515_C2_stim_CD19-_51	0.0079200623	-0.0097211407	-0.001553899	0.0025618887	0.0051827443	-0.012190774	0.0046680442	0.0012890897	0.0001193718	0.0003572571
130515_C2_stim_CD19-_52	0.0079200623	-0.0076139251	-0.0164188784	-0.0048161138	-2.05423e-05	0.0083685154	0.0039756934	0.003512252	0.001880502	0.0004272845
130515_C2_stim_CD19-_53	0.0079200623	-0.0065515185	-0.0225942569	-0.0069359426	-0.0033519587	0.0169968689	0.0020000455	0.0029421995	0.0017534292	-9.41921e-05
130515_C2_stim_CD19-_54	0.0079200623	0.0074891058	0.0026973202	-0.0003452099	0.0018437511	0.0025134983	0.0077842022	-0.0011657266	-0.0003720051	-1.25597e-05
