	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_8945	0.01	0.0093158585	0.0002825064	-0.004200529	0.0042269991	-0.0017865221	0.0027520173	0.0083045578	0.0002357989	-0.0002990975
130515_C2_stim_CD19-_14247	0.01	0.0093340628	0.000276037	-0.0038703607	0.0024227712	-0.0016635216	0.0025623831	0.0097674676	0.0006379356	-0.0013732142
130515_C2_stim_CD19-_2768	0.01	0.0095338792	0.000286059	-0.0040870238	0.0025242495	-0.0017387362	0.0028378282	0.0107807407	0.0006585764	-0.0012627922
130515_C2_stim_CD19-_870	0.01	0.0059655979	0.0001630514	-0.0026693979	0.0124729694	-0.0013123952	-0.000237199	-0.0141582785	-0.0026424949	0.0051720245
130515_C2_stim_CD19-_4053	0.01	0.0066099077	0.0001935891	-0.0038214941	0.0187850209	-0.0020853572	0.0005428209	-0.0231971158	-0.0056684035	0.0124226121
130515_C2_stim_CD19-_8063	0.01	-0.0102478243	-0.0006151588	0.0046255361	0.0029926133	-0.0046581468	-0.0149745344	0.0016095277	0.0009578795	-0.0011490615
130515_C2_stim_CD19-_4329	0.01	0.0075970696	0.0002134744	-0.0028144629	0.0034080046	-0.0009842023	0.0007871446	0.0032645077	0.0008994994	-0.0026692596
130515_C2_stim_CD19-_8530	0.01	0.0068185949	0.0001983656	-0.0037274019	0.0170021829	-0.0020071719	0.0007868556	-0.0196120178	-0.0049523794	0.010861286
130515_C2_stim_CD19-_2407	0.01	-0.0164864955	-0.0004169961	-0.0156576476	-0.0053131845	0.0004804718	0.0096059575	-0.0021287013	-0.0008194904	-8.23275e-05
130515_C2_stim_CD19-_5482	0.01	-0.0028233224	-0.0002711669	0.0049135319	0.0065376652	-0.0006313049	-0.0057909409	-0.0115149285	0.0007005344	-0.0042994031
130515_C2_stim_CD19-_14317	0.01	-0.0107283049	-0.0006429363	0.004108175	0.0031453723	-0.005298288	-0.0157667804	0.0030392384	0.0011331883	-0.0015988349
130515_C2_stim_CD19-_7767	0.01	0.0095493256	0.000288896	-0.0041669539	0.0027911114	-0.0017448656	0.0028966885	0.0107711934	0.0006686457	-0.0012149094
130515_C2_stim_CD19-_12221	0.01	0.0076700357	0.0001961758	-0.0018410206	3.16825e-05	-0.000705498	0.0011188609	0.0059185728	0.0015879312	-0.0049895534
130515_C2_stim_CD19-_15130	0.01	-0.0087524213	-0.0005313389	0.003027198	0.0039431207	-0.0044885339	-0.0135734497	0.0009821758	0.0005856209	6.97287e-05
130515_C2_stim_CD19-_12142	0.01	0.0091344551	0.0002739744	-0.0040048298	0.0033382176	-0.0016441834	0.0025771561	0.0088819705	0.0005742665	-0.0011990042
130515_C2_stim_CD19-_2053	0.01	0.0093860644	0.0002744075	-0.0035932613	0.0009879875	-0.0014707007	0.0023219089	0.0095422046	0.0005268304	-0.0009238568
130515_C2_stim_CD19-_13527	0.01	0.0082987593	0.0002362779	-0.0031948668	0.0031710072	-0.0012907342	0.0014455222	0.0049829404	0.0006426829	-0.002020177
130515_C2_stim_CD19-_14059	0.01	0.0069141054	0.0002081144	-0.0039895937	0.0181679064	-0.0020450997	0.0008315284	-0.0212767407	-0.0053208281	0.0116740646
130515_C2_stim_CD19-_8917	0.01	0.0092615453	0.0002780993	-0.0040634825	0.0039519292	-0.0017493363	0.0026187477	0.0077855449	0.0001384135	-0.0001196688
130515_C2_stim_CD19-_12969	0.01	0.0069194664	9.17679e-05	0.0044855945	-0.0230516428	0.003103053	-0.0054844813	-0.0103191374	-0.0016106411	0.0045923572
130515_C2_stim_CD19-_3839	0.01	-0.002506045	-0.0002258564	0.006234864	-0.0036461383	0.0013700851	-0.0067094493	-0.0063623619	0.002682456	-0.0083977859
130515_C2_stim_CD19-_12910	0.01	0.0081763242	0.0002400939	-0.0038054986	0.0086396094	-0.0018307568	0.0017527606	-0.0025006296	-0.0017146176	0.0038251221
130515_C2_stim_CD19-_5628	0.01	0.004598528	7.65388e-05	-0.000210939	2.42961e-05	-0.0001227148	-0.0020952268	0.0031799854	0.0029412415	-0.0082543579
130515_C2_stim_CD19-_14877	0.01	-0.002487496	-0.0002977043	0.0071909444	0.0027957015	0.0001111643	-0.0045596076	-0.0101564559	0.000358055	-0.0032855644
130515_C2_stim_CD19-_14160	0.01	0.0080792869	0.0001990619	-0.0009235217	-0.0046212166	-5.62372e-05	0.0002325822	0.0037041645	0.0004190971	-0.0009704152
130515_C2_stim_CD19-_844	0.01	0.0069994607	0.0001055142	0.003562276	-0.0193286859	0.0025025983	-0.004503074	-0.008470395	-0.0013809932	0.003855214
130515_C2_stim_CD19-_2402	0.01	0.0092720087	0.0002732025	-0.0037757007	0.0019507095	-0.0015807534	0.002447171	0.0097816274	0.0006856598	-0.0014494578
130515_C2_stim_CD19-_15223	0.01	0.0094552886	0.0002846633	-0.0041122023	0.0029873036	-0.0017364632	0.0027914613	0.0100058452	0.0005402268	-0.0009696156
130515_C2_stim_CD19-_1240	0.01	0.0074103741	0.000177903	-0.0010781231	-0.0032293795	-0.0002346674	-0.0005011485	0.003981354	0.0013701706	-0.0039237099
130515_C2_stim_CD19-_7225	0.01	-0.0140281626	-0.0007243132	-0.0009067847	0.0016440746	-0.0065742224	-0.0136429982	0.0057956007	-0.0006014574	0.0037483646
130515_C2_stim_CD19-_10637	0.01	0.0091509555	0.0002526126	-0.0024972071	-0.002530896	-0.0008512117	0.0013536541	0.0071159304	0.0001537252	5.85966e-05
