	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_36	-0.0079200623	-0.0054475296	-0.0030615496	-0.012138618	-0.0129708708	0.0042474834	-0.0090997635	-0.0035499275	0.0016405837	0.0001411638
130515_C2_stim_CD19-_37	-0.0079200623	-0.0075689734	0.0028438002	0.000677638	0.002231899	-0.0026620995	0.0079530109	0.0010213526	-0.0003003353	-6.4786e-06
130515_C2_stim_CD19-_38	-0.0079200623	0.0066554346	-0.0200090006	0.0065161205	-0.0018945028	-0.0136596308	0.0023459423	-0.0017387947	0.0011293275	-1.06118e-05
130515_C2_stim_CD19-_39	-0.0079200623	0.0114176408	0.0016813194	-0.0034049926	0.0057724865	0.0112336529	0.0065600038	-0.0022673646	0.0030808344	-0.0003849264
130515_C2_stim_CD19-_40	-0.0079200623	0.0056816063	-0.020571208	0.0056684482	-0.0035279785	-0.0147654953	0.0013331366	-0.0025397586	0.0014858868	-7.04888e-05
130515_C2_stim_CD19-_41	-0.0079200623	-0.007612134	0.0026493826	-0.0001809722	0.0013615725	-0.0025323894	0.0079937997	0.0009324429	-0.0002370121	2.19893e-05
130515_C2_stim_CD19-_42	-0.0079200623	-0.0071265785	0.0017954014	-0.0015954446	-0.0004637021	-0.0014822269	0.0054328965	0.0008996454	-0.0002808667	-8.8032e-06
130515_C2_stim_CD19-_43	-0.0079200623	0.0063226535	-0.0217827924	0.0065160373	-0.003296752	-0.0159139388	0.0015518501	-0.0025681044	0.0015177189	-9.68932e-05
130515_C2_stim_CD19-_44	-0.0079200623	-0.0052766058	0.0028591826	0.0111710954	0.0108797384	0.0012369554	-0.0170697404	-0.0095440469	0.0039799348	0.0001032009
130515_C2_stim_CD19-_45	-0.0079200623	0.0067233357	-0.0209904849	0.0063380621	-0.0027794271	-0.0151695853	0.002173807	-0.0029864528	0.0017266522	4.6441e-06
130515_C2_stim_CD19-_46	-0.0079200623	-0.0076421847	0.002899241	0.0006386792	0.0022395338	-0.0027628464	0.0082878419	0.0010017983	-0.0002781687	1.20321e-05
